Store,Dry.Grocery..,Dairy..,Frozen.Food,Meat..,Produce..,Floral..,Deli..,Bakery..,General.Merchandise..,Cluster
S0055,0.48940475468914,9.57888507444977e-02,8.13549067761402e-02,9.86352513350622e-02,0.112819490129344,5.78686267578153e-03,3.75774323792552e-02,1.63906663737637e-02,6.22417848970158e-02,1
S0056,0.476389545840004,0.116872379787864,8.63992523335724e-02,8.74318167126418e-02,0.117922298124618,8.10746892419901e-03,2.71587012516661e-02,2.24773986156937e-02,5.72411384097397e-02,2
S0057,0.4381235846584,9.72176286267774e-02,7.53291363880104e-02,0.147446426602225,0.107270417986221,5.86651266276382e-03,4.95360540449048e-02,1.77073661779553e-02,6.15028728527402e-02,3
S0058,0.464678443566059,0.100374796990454,7.98608513999958e-02,0.102635716958295,0.100386803652111,8.32341631602714e-03,4.77517696313728e-02,2.9822831725081e-02,6.61653697606013e-02,3
S0059,0.429946589188249,9.68411994970685e-02,7.24978148970848e-02,0.117434050840148,0.120424609737514,7.3861927902186e-03,4.34669777560841e-02,2.86158137566981e-02,8.33867515369376e-02,1
S0060,0.44969993843213,0.101905171064988,8.2347433981687e-02,0.114625223408495,0.100789221408974,1.05073691634687e-02,4.16234145805385e-02,2.58691995184461e-02,7.26330284412706e-02,3
S0061,0.460529927808281,0.106175563121284,7.36530582724901e-02,0.117167008720308,0.1030184504619,5.82727628996419e-03,4.93621826189884e-02,2.95872670019269e-02,5.46792657048564e-02,3
S0062,0.469906881107818,9.88776584124479e-02,7.97719453361513e-02,9.3725323844313e-02,0.110606737481433,5.7996704389827e-03,4.07674741570115e-02,2.14805262351832e-02,7.90637829866576e-02,1
S0063,0.418792380099668,0.113887245057729,8.49979738168092e-02,0.105673383313026,0.135424193976403,9.29907024481673e-03,2.99335161934391e-02,2.91314822188029e-02,7.28607550793048e-02,2
S0064,0.436474623803479,0.107324741525072,7.1334836539496e-02,0.114659174554388,0.122795979354333,9.57445158460926e-03,3.96620873175847e-02,4.38171055786746e-02,5.43569997423657e-02,2
S0065,0.419621852861739,0.106998379664367,7.33014741420797e-02,0.112588674936775,0.122427970212751,1.15740419065286e-02,3.86386114528409e-02,3.0976331335406e-02,8.3872663487514e-02,2
S0066,0.451210238361218,9.9513236219025e-02,8.29723446482718e-02,0.105707638439693,8.55888280594248e-02,8.63066074972536e-03,3.99482323615964e-02,2.52303967298492e-02,0.101198424431196,1
S0067,0.460265496912012,9.93178940300879e-02,8.09561788819945e-02,0.122564250852584,0.101988079443533,5.98896990351372e-03,4.34799171855492e-02,2.45153598640566e-02,6.0923852926669e-02,3
S0068,0.440858632965238,0.100076398149488,7.58071349869408e-02,0.102962228786708,0.122994773306086,9.38551297879099e-03,4.59183421628658e-02,3.60828030299687e-02,6.59141736339139e-02,2
S0069,0.413318937082724,0.106079581668595,7.76097150297573e-02,0.112313559136228,0.133252019509577,7.91302139993069e-03,4.15809399170911e-02,3.71479680151377e-02,7.07842582409583e-02,2
S0070,0.43968527776992,9.75284082407602e-02,7.68669281279591e-02,0.100741507906786,0.113486223215441,7.8252076301345e-03,3.77874661371005e-02,2.33282497561731e-02,0.102750731215726,1
S0071,0.444423860927387,9.81919766654262e-02,6.87098280116219e-02,0.134438802167058,0.101314143910107,5.95327187827386e-03,4.29820265298623e-02,2.15006482172858e-02,8.24854416929772e-02,1
S0072,0.439709568860525,9.27884815748612e-02,6.33734289100972e-02,0.125563804878815,0.108969886987356,7.55870134893453e-03,4.40562042714596e-02,1.82013627694588e-02,9.97785603984929e-02,1
S0073,0.436022961312666,9.77763877593137e-02,7.78570546425552e-02,0.105422731331577,0.124461102885832,8.66901556825175e-03,4.25052509418968e-02,3.60454137205131e-02,7.12400818373942e-02,2
S0074,0.456377655788528,0.103003619065798,7.89670987428504e-02,0.131932610006743,9.30637404070065e-02,5.08630464854778e-03,3.73692744477421e-02,3.31577007242181e-02,6.10419961685657e-02,3
S0075,0.431126854341016,9.77621125099836e-02,7.55026928131132e-02,0.159218335066038,0.114499910929951,4.55906293450598e-03,5.15678347322644e-02,1.60311829615784e-02,4.97320137115501e-02,3
S0076,0.438723426543255,9.90931721521808e-02,8.19458615046384e-02,0.109776268348252,0.115232744839187,1.17011432701173e-02,4.16554017626668e-02,2.61070970731406e-02,7.57648845065631e-02,2
S0077,0.438946113749385,0.103039925916712,8.18253710907366e-02,0.106184467098264,0.11793568346762,1.08497211886006e-02,3.80894412787234e-02,3.92440250638272e-02,6.38852511461318e-02,2
S0078,0.431481549378694,0.119660556484189,8.80517592549444e-02,0.111857096036857,0.127328693579674,7.19256518781134e-03,3.62736263036397e-02,2.52094044384405e-02,5.29447493357503e-02,2
S0079,0.464064228848221,9.60020027342486e-02,7.68603811099524e-02,0.120888534155151,9.89700308488228e-02,7.747706399538e-03,4.03967011364462e-02,2.27431817821633e-02,7.23272329854565e-02,1
S0080,0.476708115204951,0.106207764740202,8.22147471783079e-02,0.101294569792827,8.26164971416748e-02,7.71247192613855e-03,3.62586898158166e-02,2.42448429386692e-02,8.27423012614136e-02,1
S0081,0.423279909875626,0.102088636197955,8.65922135077673e-02,0.123492606345461,0.11666552938982,8.47526987887007e-03,3.8955945832324e-02,4.2944369304697e-02,5.7505519667479e-02,2
S0082,0.460994979317139,0.100759556439533,7.5289879996377e-02,0.113609981337776,0.101490017257712,5.2693508361212e-03,4.82667424859536e-02,3.5212386404402e-02,5.91071059249842e-02,3
S0083,0.447872591018315,0.108864515732792,8.37932433286468e-02,0.109468899899755,0.117443241426429,7.09702410050672e-03,3.18846316770404e-02,2.52062797761983e-02,6.83695730403174e-02,2
S0084,0.460305966372416,0.106343455475019,9.4408440777409e-02,0.105935861988612,0.100824239069282,6.37733154466315e-03,4.01495442191067e-02,2.21186028092026e-02,6.35365577442916e-02,3
S0085,0.42423991684414,0.11256324266889,7.52570098439862e-02,0.115231696286619,0.125251024423217,1.06353000453543e-02,3.12997910270527e-02,3.6952208562916e-02,6.8569810297823e-02,2
